,rsi_200,sma_cross_f18_s200,retearn,sma_cross_f6_s50,sma_cross_f50_s200,close,adj close,sma_cross_f6_s100,sma_cross_f6_s24,ebitdamargin,sma_cross_f100_s200,sma_cross_f6_s200,adi,consolinc,atr_6,sma_cross_f24_s200,2_day_return,ebt,sma_cross_f24_s50,open,sma_cross_f18_s50,ema_18,atr_18,2_day_log_return,low,taxexp,ema_24,stoch_24,stoch_18,ema_6,sma_18,high
3541,53.39858252753401,1.1748046875474785,23913000000.0,0.950775070097592,1.0748068556905253,80.2300033569336,67.78986358642578,0.9183107292655991,0.9577917379718456,0.14,1.1072711965225182,2.025581925788117,215378254.52752075,5538000000.0,0.9221095196510826,1.0677901878162714,0.006902648715503057,8720000000.0,-0.007016667874253813,79.7699966430664,0.0999978318569532,78.65471673987706,1.0907108277599942,0.6878934500579525,79.58000183105469,3182000000.0,78.54770224014584,84.21959039455605,99.19205432748771,79.5054939781177,78.0394443935818,80.2699966430664
3542,53.651049953676775,1.37140044443413,23913000000.0,1.2424427358641168,1.1309919039473613,80.83999633789062,68.30525970458984,1.254986957593161,1.155694598658812,0.14,1.1184476822183171,2.373434639811478,218825385.19942227,5538000000.0,0.9167578313173084,1.2177400411526662,0.011764640726662057,8720000000.0,0.08674813720530494,80.25,0.24040854048676866,78.88474617124692,1.0795601923093523,1.1695975365122455,80.16999816894531,3182000000.0,78.73108576796544,96.16722469372758,96.16722469372758,79.88678036662425,78.22944429185655,81.05999755859375
3543,53.56976273318279,1.5279122303136037,23913000000.0,1.3867815826488652,1.1790200950753444,80.66999816894531,68.56024932861328,1.438402982246714,1.224358121529292,0.14,1.1273986954774955,2.5658016777242096,221151527.06936648,5538000000.0,0.8856308140209341,1.3414435561949176,0.005484167937202189,8720000000.0,0.16242346111957318,80.19000244140625,0.34889213523825896,79.07266743416253,1.0601399442665584,0.5469184643856373,80.1500015258789,3182000000.0,78.88619876004384,93.20558301754627,93.20558301754627,80.11055688157312,78.42888853285048,80.87999725341797
3544,53.50745740114155,1.6525649463295338,23913000000.0,1.43825534407992,1.2204411891425764,80.54000091552734,68.44976806640625,1.5241142080344616,1.2147522445061014,0.14,1.1345823251880347,2.6586965332224963,221928672.6158321,5538000000.0,0.8763593168598929,1.443944288716395,-0.003710977683736849,8720000000.0,0.22350309957381853,80.31999969482422,0.4321237571869574,79.22712359009566,1.0473544935325656,-0.3717880444039423,80.05999755859375,3182000000.0,79.01850293248252,90.94082166217189,90.94082166217189,80.23325517698862,78.62277730305989,80.88999938964844
3545,53.43058541714388,1.7460052567481767,23913000000.0,1.4180248900425596,1.254683138694844,80.37999725341797,68.31376647949219,1.5329542525270343,1.1477590063825147,0.14,1.1397537762103696,2.672708028737404,218216167.6672646,5538000000.0,0.8269664025590254,1.5249490223548892,-0.0035949042036669265,8720000000.0,0.2702658836600449,80.66999816894531,0.4913221180533327,79.34847871255064,1.021390456728239,-0.3601381399708892,80.27999877929688,3182000000.0,79.12742247815736,88.15330037894445,88.15330037894445,80.27518148453987,78.77111053466797,80.86000061035156
3546,53.53959399879712,1.8517306630606072,23913000000.0,1.452343173485005,1.2943744037810347,80.63999938964844,68.53474426269531,1.5996082930150664,1.130986540637096,0.14,1.1471092842509734,2.74671757726604,215281738.56292185,5538000000.0,0.8374719004072607,1.6157310366289437,0.0012416001115516107,8720000000.0,0.3213566328479089,80.58000183105469,0.5573562592795724,79.48442825750831,1.0140909530015834,0.12408299635442432,80.51000213623047,3182000000.0,79.24842863107666,89.41180543623491,89.41180543623491,80.37941517171376,78.90277735392253,81.2699966430664
3547,53.525065501272316,1.9405870577289903,23913000000.0,1.452227526906114,1.3307466986255465,80.61000061035156,68.50923919677734,1.6292483868788563,1.0879423361916167,0.14,1.1537258386528038,2.7829742255316603,213133231.6312048,5538000000.0,0.847893504652535,1.6950318893400436,0.002861450171594893,8720000000.0,0.3642851907144973,80.62999725341797,0.609840359103444,79.60290955780759,1.007752651494768,0.2857364016083608,80.41999816894531,3182000000.0,79.35735438941866,88.16668192545575,88.16668192545575,80.44529672561026,79.08833312988281,81.31999969482422
3548,53.57992590162226,2.029656928160108,23913000000.0,1.4679208456213357,1.3686300696390674,80.73999786376953,68.61972045898439,1.675350701670439,1.0615311834319099,0.14,1.1612002135899644,2.836550915260404,215898764.54673612,5538000000.0,0.8115774627801073,1.7750197318284933,0.0012400604523556955,8720000000.0,0.40638966218942585,80.26000213623047,0.6610268585210406,79.72260306369833,0.9867662404905015,0.12392922124373484,80.22000122070312,3182000000.0,79.4679658673667,90.33330281575519,90.33330281575519,80.52949705079862,79.33444425794814,80.8499984741211
3549,53.129007742969144,2.017791160386309,23913000000.0,1.2329997051375017,1.3769147383466986,79.80999755859375,67.82933807373047,1.4508516714612512,0.8285973646466402,0.14,1.1590627720229492,2.6099144434842003,211487638.1081645,5538000000.0,0.8396471735732666,1.78131707883756,-0.009924364789734021,8720000000.0,0.40440234049086143,80.45999908447266,0.6408764220396108,79.73180248421363,0.9863901008820884,-0.9973939569483116,79.76000213623047,3182000000.0,79.49532840266487,74.83329772949219,69.49488753186623,80.32392576731152,79.53277757432727,80.7300033569336
3550,52.47046707987068,1.8736350835954168,23913000000.0,0.7177968016644769,1.3438718127383849,78.43000030517578,66.656494140625,0.918503849280242,0.37270205183556016,0.14,1.1431647651226202,2.061668614402862,206069632.56478804,5538000000.0,0.968039413036316,1.6889665625673018,-0.028610324742531563,8720000000.0,0.34509474982891675,79.7300033569336,0.5297632708570319,79.59477067589388,1.021035129185948,-2.902757785101695,78.19999694824219,3182000000.0,79.41010215486575,51.83334350585938,41.6161379518685,79.78280420670131,79.59222200181749,79.77999877929688
